,0,1
167,1439023,43520
168,1367365,43532
169,1442901,43532
170,47117,43612
171,430676,43612
172,4959,43696
173,35428,43696
174,141723,43696
175,478760,43696
176,528697,43696
177,675495,43696
178,691946,43696
179,1046721,43696
180,1192374,43696
181,1445817,43696
182,55517,43762
183,112125,43762
184,433360,43762
185,464102,43762
186,36884,43986
187,1444166,44985
188,70671,47117
189,153809,47117
190,1222072,47117
191,1446035,47117
192,1445907,47536
193,596626,47928
194,1445749,47928
195,57732,48105
196,1445611,48105
197,1445717,48105
198,57732,49057
199,88856,49096
200,62451,49861
201,141723,49968
202,135370,50815
203,1326712,50815
204,1445812,50815
205,386221,50968
206,237713,52052
207,1190094,52052
208,1444763,52052
209,70671,53413
210,1085804,53631
211,1445901,53631
212,1446035,53631
213,137068,54986
214,669416,56392
215,1116009,56392
216,1445714,56392
217,1445885,56392
218,429687,57732
219,34710,62451
220,47117,62451
221,56392,62451
222,70671,62451
223,135370,62451
224,141723,62451
225,1213237,62451
226,1445804,62451
227,187409,62484
228,61611,63286
229,225537,65757
230,1446035,65912
231,30295,68319
232,47117,69603
233,367945,70589
234,1213237,70589
235,1299987,70589
236,362567,71283
237,1446035,71283
238,35428,72543
239,70671,73056
240,1445804,73056
241,1446035,73056
242,12354,75071
243,214931,75071
244,351169,75071
245,649706,75071
246,1444162,75071
247,625260,75304
248,1074330,79382
249,1181919,80305
250,137068,80623
251,214931,85309
252,1444148,85309
253,47117,86064
254,49096,88856
255,1116193,89223
256,1183975,89223
257,1445661,89223
258,1445999,89223
259,12354,91745
260,245399,93895
261,424001,93895
262,576288,93895
263,611495,93895
264,1444287,93895
265,1446035,94713
266,187409,97225
267,127443,98182
268,1446035,98715
269,30295,102761
270,246274,103235
271,55517,103863
272,79448,106037
273,1445506,106037
274,1444630,108578
275,1446035,110533
276,43543,117103
277,455978,117103
278,35428,117985
279,40302,117985
280,71410,117985
281,124197,117985
282,367945,117985
283,1195549,117985
284,371312,120383
285,526016,120383
286,311534,122054
287,424001,122054
288,1445861,122054
289,70671,123734
290,528697,123734
291,430676,128999
292,1192374,128999
293,30190,130627
294,1444309,133394
295,1444630,133394
296,430676,134442
297,1085804,137068
298,137068,137406
299,1445804,137406
300,1443018,138559
301,1445804,138559
302,1424541,141723
303,381729,141739
304,576288,141739
305,611495,141739
306,1444345,141739
307,1446035,145892
308,1445769,146271
309,1078932,147246
310,1078932,147447
311,1184765,157704
312,1444151,161420
313,258509,176336
314,1044092,176336
315,12354,177548
316,1192374,185924
317,649706,186033
318,1190094,186755
319,1291789,186755
320,1406789,188227
321,57732,189913
322,465703,190466
323,649706,190466
324,1192374,190466
325,62484,195881
326,429687,200616
327,213441,200762
328,12354,206568
329,387813,206568
330,429687,206568
331,474087,206568
332,12354,213276
333,348527,213276
334,440811,213276
335,466436,213276
336,1351677,213276
337,1424541,213276
338,1446126,213276
339,1181919,213732
340,318910,215511
341,366466,215511
342,1192284,215511
343,1444148,215511
344,70671,215745
345,1084409,215745
346,1444763,215745
347,1108321,233789
348,1444477,233789
349,1190094,234441
350,1444464,234441
351,12354,236282
352,933299,237307
353,1444763,237713
354,1363662,237780
355,509395,237862
356,1444763,237862
357,287059,240413
358,80581,244731
359,350889,244745
360,429687,244745
361,487125,244745
362,1445519,244965
363,1181919,245114
364,462209,245371
365,1444763,245399
366,386221,245605
367,515750,245932
368,12354,246274
369,103235,246274
370,351169,246274
371,1442805,246274
372,70671,247531
373,1445804,247531
374,1424541,247691
375,1443380,247691
376,153809,248028
377,299881,248028
378,384652,248028
379,1250923,248028
380,1444574,248028
381,1443380,249128
382,1444763,249128
383,1445659,249128
384,80581,249135
385,368010,249135
386,1444312,249135
387,1444477,249135
388,1444763,252306
389,253114,252756
390,252756,253114
391,430676,255886
392,633207,255886
393,1424541,255886
394,1443339,258182
395,340392,261739
396,487829,262824
397,1073382,263906
398,24663,265981
399,487829,265981
400,1444147,275418
401,1444372,275418
402,487829,277060
403,1340215,277060
404,1444477,277060
405,1192374,277579
406,447868,278743
407,467447,287059
408,5638,305809
409,649706,305809
410,165,306617
411,38624,306617
412,430676,306617
413,311534,307695
414,611495,307695
415,186033,308040
416,649706,308040
417,729598,308040
418,1445863,308109
419,22299,308510
420,186755,308510
421,568796,308510
422,940384,308510
423,1444706,308543
424,318910,308618
425,1444562,309549
426,338095,310055
427,430676,310117
428,5638,310529
429,430676,310529
430,1078932,310529
431,1108321,310529
432,1445671,310529
433,318910,311925
434,1250923,311925
435,1446035,317466
436,43762,317699
437,114721,317699
438,1445657,317699
439,237862,318659
440,362567,318659
441,1444355,318659
442,1446035,318659
443,1445937,318914
444,1444477,326726
445,576288,327289
446,433071,334182
447,1445812,335241
448,430676,336800
449,1445823,336800
450,642757,337360
451,1446038,338542
452,478760,338595
453,478760,339014
454,1446045,339014
455,77586,340392
456,411440,340392
457,482667,340392
458,487829,340392
459,1192374,340392
460,1446035,340392
461,57732,340490
462,1351677,341769
463,1424541,341769
464,1445717,341769
465,44660,342571
466,165,347174
467,340392,347174
468,360946,347174
469,429687,347174
470,472742,347174
471,649706,347174
472,1085804,347174
473,1446035,347174
474,648372,348470
475,1085804,348470
476,1446035,348470
477,351922,348964
478,650783,348964
479,43543,350154
480,1445769,350154
481,70671,351193
482,22299,352036
483,484950,352571
484,70671,353089
485,424001,353089
486,1085804,359551
487,137068,360813
488,23004,360946
489,41829,360946
490,98715,360946
491,245114,360946
492,316302,360946
493,338135,360946
494,340392,360946
495,347174,360946
496,411440,360946
497,430676,360946
498,432937,360946
499,433071,360946
500,434191,360946
501,472742,360946
502,483853,360946
503,487829,360946
504,489528,360946
505,542521,360946
506,544970,360946
507,571290,360946
508,596560,360946
509,1015985,360946
510,1181919,360946
511,1183306,360946
512,1192374,360946
513,1192886,360946
514,1324698,360946
515,1351677,360946
516,1421722,360946
517,1444133,360946
518,1444763,360946
519,1445595,360946
520,1445740,360946
521,1445756,360946
522,1445773,360946
523,1446035,360946
524,43543,361243
525,433360,362477
526,195881,366967
527,487829,366967
528,384189,367050
529,411440,367050
530,430676,367050
531,468296,367050
532,487829,367050
533,1046721,367050
534,1192374,367050
535,1445833,367050
536,1446035,367050
537,12354,367315
538,47117,367945
539,57732,367945
540,137068,367945
541,1183975,367945
542,41829,367991
543,47117,367991
544,1445773,367991
545,576288,368072
546,1085804,368179
547,1446035,368179
548,1193488,368903
549,429687,369107
550,430676,369107
551,244352,371165
552,482667,371165
553,1445740,371165
554,1446035,371165
555,392510,371174
556,430676,371174
557,649706,371174
558,433360,371312
559,57732,371852
560,1085804,371852
561,1213237,371852
562,607168,371857
563,11492,372616
564,400392,372616
565,1445864,373671
566,47117,373943
567,430676,373943
568,110848,379846
569,1445993,381864
570,1446035,382498
571,248028,384652
572,1444574,384652
573,255886,385595
574,1446035,385606
575,245932,385953
576,47117,386221
577,1222072,386221
